# The core / tier 1 package triage

args,dart-lang/args,dart.dev
async,dart-lang/async,dart.dev
characters,dart-lang/characters,dart.dev
collection,dart-lang/collection,dart.dev
convert,dart-lang/convert,dart.dev
crypto,dart-lang/crypto,dart.dev
fake_async,dart-lang/fake_async,dart.dev
fixnum,dart-lang/fixnum,dart.dev
grpc,grpc/grpc-dart,dart.dev
http_parser,dart-lang/http_parser,dart.dev
http,dart-lang/http,dart.dev
http2,dart-lang/http2,dart.dev
intl_translation,dart-lang/intl_translation,dart.dev
intl,dart-lang/intl,dart.dev
js,dart-lang/sdk,dart.dev
logging,dart-lang/logging,dart.dev
matcher,dart-lang/matcher,dart.dev
meta,dart-lang/sdk,dart.dev
os_detect,dart-lang/os_detect,dart.dev
path,dart-lang/path,dart.dev
test,dart-lang/test,dart.dev
typed_data,dart-lang/typed_data,dart.dev

# Added to the core triage
protobuf,google/protobuf.dart,google.dev
protoc_plugin,google/protobuf.dart,google.dev

# package:build is triaged by jakemac53@
# build,dart-lang/build,dart.dev

# package:ffi is triaged by dcharkes@
# ffi,dart-lang/ffi,dart.dev

# package:mockito is triaged by srawlins@
# mockito,dart-lang/mockito,dart.dev
